amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;stim_id;stim_pos;stim_freq;stim_elec;stim_time;stim_attended;con_validity;con_pos_attention;con_pos_targ;con_val_pos_att
4.80037403106689;3.33941507339478;0;0;1;SSVEP1;left;24;'RESS1';[-1000 0] ;stim_attended;valid;left;left;valid_left
5.28530073165894;4.01753902435303;0;0;1;SSVEP2;right;21.8182;'RESS2';[-1000 0] ;stim_unattended;valid;left;left;valid_left
5.26821708679199;3.15372896194458;9.74597089096239;-5.56043820157495;1;SSVEP1;left;24;'RESS1';[0 1000] ;stim_attended;valid;left;left;valid_left
5.13373041152954;3.48047590255737;-2.86777097131841;-13.3679627886662;1;SSVEP2;right;21.8182;'RESS2';[0 1000] ;stim_unattended;valid;left;left;valid_left
5.07803153991699;2.94868874549866;5.78408072065142;-11.7004421226055;1;SSVEP1;left;24;'RESS1';[500 1500] ;stim_attended;valid;left;left;valid_left
5.59032201766968;3.77243947982788;5.77112451111184;-6.10073836344668;1;SSVEP2;right;21.8182;'RESS2';[500 1500] ;stim_unattended;valid;left;left;valid_left
5.1058783531189;2.90588331222534;6.36417745939899;-12.9822664041794;1;SSVEP1;left;24;'RESS1';[1000 2000] ;stim_attended;valid;left;left;valid_left
5.36766767501831;3.51491355895996;1.55841545337236;-12.5107799164193;1;SSVEP2;right;21.8182;'RESS2';[1000 2000] ;stim_unattended;valid;left;left;valid_left
4.40978574752808;2.23612070083618;-8.13662187594181;-33.0385516118848;1;SSVEP1;left;24;'RESS1';[1500 2500] ;stim_attended;valid;left;left;valid_left
5.30696582794189;3.2660505771637;0.409912271466117;-18.705193468789;1;SSVEP2;right;21.8182;'RESS2';[1500 2500] ;stim_unattended;valid;left;left;valid_left
4.94903755187988;3.250816822052;0;0;1;SSVEP1;left;24;'RESS1';[-1000 0] ;stim_unattended;valid;right;right;valid_right
5.31024408340454;3.65942358970642;0;0;1;SSVEP2;right;21.8182;'RESS2';[-1000 0] ;stim_attended;valid;right;right;valid_right
5.19347047805786;3.22182822227478;4.93899922188166;-0.89173279714122;1;SSVEP1;left;24;'RESS1';[0 1000] ;stim_unattended;valid;right;right;valid_right
5.31295442581177;3.86674547195435;0.051039883754056;5.66542454475889;1;SSVEP2;right;21.8182;'RESS2';[0 1000] ;stim_attended;valid;right;right;valid_right
4.82442378997803;2.83533954620361;-2.51793930831099;-12.780704007374;1;SSVEP1;left;24;'RESS1';[500 1500] ;stim_unattended;valid;right;right;valid_right
